"species","dev_full","dev_no_FRic","unique_FRic","dev_no_FEve","unique_FEve","dev_no_FDiv","unique_FDiv","dev_no_wooddensity_cwm","unique_wooddensity_cwm","dev_no_LA_cwm","unique_LA_cwm","dev_no_height_cwm","unique_height_cwm","dev_no_sp_richness","unique_sp_richness","dev_no_pielou_evenness","unique_pielou_evenness","dev_no_gini_simpson","unique_gini_simpson","dev_no_cover","unique_cover","dev_no_mean_fhd","unique_mean_fhd","dev_no_prop_canopy","unique_prop_canopy"
"White-cheeked Honeyeater",0.527823646733965,0.517534796252709,0.0102888504812559,0.538085793231733,-0.0102621464977685,0.533630407076207,-0.0058067603422417,0.518913895200202,0.00890975153376272,0.533102393779199,-0.00527874704523423,0.519965158603821,0.00785848813014434,0.522773133292603,0.00505051344136165,0.536375806895035,-0.00855216016106985,0.532228470204349,-0.00440482347038396,0.533682065544945,-0.00585841881097959,0.534229459197935,-0.00640581246397021,0.535881912693951,-0.00805826595998571
"Brown Honeyeater",0.651187910667411,0.644131484934847,0.00705642573256482,0.650307552059595,0.00088035860781599,0.64782107313441,0.0033668375330016,0.649075620984801,0.0021122896826099,0.649895782287399,0.00129212838001214,0.65159462633555,-0.000406715668138546,0.651062851913669,0.000125058753742802,0.651632091120693,-0.000444180453281429,0.64339997703951,0.00778793362790153,0.647482791873206,0.00370511879420565,0.651090241266212,9.7669401199374e-05,0.644463631156007,0.00672427951140442
"Wonga Pigeon",0.422116733091617,0.424806448925477,-0.00268971583386018,0.422396607627704,-0.000279874536087521,0.42355407213215,-0.00143733904053311,0.421778284073922,0.000338449017694309,0.419335803297727,0.00278092979388928,0.422689849295426,-0.000573116203809343,0.422820484852146,-0.000703751760529558,0.422354578398563,-0.000237845306946483,0.424431596400383,-0.00231486330876635,0.416051687157795,0.00606504593382173,0.422799831212305,-0.00068309812068823,0.422151264179223,-3.45310876068705e-05
"Musk Lorikeet",0.343489607587089,0.354560656120817,-0.0110710485337287,0.342811552236381,0.000678055350707307,0.343277194952662,0.00021241263442634,0.343435047503501,5.45600835873961e-05,0.347844500253789,-0.00435489266670014,0.346588097449467,-0.00309848986237793,0.337213221724728,0.00627638586236073,0.347078701844623,-0.00358909425753445,0.343573279418684,-8.3671831595078e-05,0.348488413315613,-0.0049988057285249,0.353028011495803,-0.00953840390871469,0.346096818276008,-0.00260721068891956
"Brown Cuckoo-Dove",0.482778284302994,0.480231146905613,0.00254713739738088,0.483185946918637,-0.000407662615642623,0.483225042112871,-0.000446757809876575,0.483161382091952,-0.000383097788958009,0.482994500795551,-0.000216216492556598,0.481273523304938,0.00150476099805563,0.48325266808088,-0.000474383777886278,0.484374652794841,-0.00159636849184663,0.478392077312839,0.00438620699015546,0.482111709873358,0.000666574429636246,0.479158889526163,0.00361939477683126,0.48273664629969,4.16380033037012e-05
"Bell Miner",0.517297228029129,0.539766152046976,-0.0224689240178466,0.521939413645943,-0.00464218561681418,0.521569890869616,-0.00427266284048633,0.525879728209813,-0.00858250018068418,0.524118996332611,-0.0068217683034818,0.520060791547787,-0.00276356351865781,0.532712111436487,-0.0154148834073574,0.517446636077469,-0.000149408048339739,0.526475692141413,-0.00917846411228374,0.515648188027127,0.00164904000200272,0.507913651507266,0.00938357652186306,0.520906678205482,-0.00360945017635295
"Dollarbird",0.455404300743645,0.476988568198636,-0.0215842674549913,0.457623589459429,-0.00221928871578442,0.45639443533622,-0.000990134592575298,0.45743689440279,-0.0020325936591451,0.449260380577261,0.00614392016638426,0.457063741003045,-0.00165944025940029,0.455416988649944,-1.26879062991025e-05,0.455375341257376,2.89594862686871e-05,0.456113681411561,-0.000709380667915593,0.455902003190638,-0.000497702446992987,0.456764863378815,-0.00136056263517037,0.457201295192304,-0.00179699444865944
"Australian Brushturkey",0.477116558267437,0.523024153446992,-0.0459075951795549,0.477094599635997,2.19586314399445e-05,0.468930767794967,0.00818579047247003,0.474853272482468,0.00226328578496854,0.477159070473514,-4.25122060769278e-05,0.468119088331385,0.00899746993605133,0.474327188874603,0.00278936939283336,0.47434033114227,0.0027762271251669,0.461518792251092,0.0155977660163449,0.467682075235309,0.00943448303212741,0.467993181650271,0.00912337661716578,0.468711847549067,0.00840471071837029
"Mistletoebird",0.286602010319481,0.300056387080849,-0.013454376761368,0.286527447029404,7.45632900771009e-05,0.287355940905979,-0.000753930586497475,0.287888803399445,-0.00128679307996421,0.286564565090519,3.74452289617078e-05,0.289178892914269,-0.00257688259478811,0.287043228280779,-0.000441217961298035,0.284693766344263,0.00190824397521794,0.288641518063553,-0.00203950774407158,0.288724444435539,-0.00212243411605773,0.28731339947989,-0.000711389160408527,0.286031405329384,0.000570604990097145
"Blue-faced Honeyeater",0.489302299271903,0.49271935626891,-0.00341705699700678,0.489824964677667,-0.0005226654057639,0.488260568582708,0.00104173068919455,0.488045055796883,0.00125724347501982,0.492286571970564,-0.00298427269866131,0.488341999751068,0.000960299520835262,0.493507322720128,-0.00420502344822477,0.492004627556049,-0.00270232828414624,0.490260532398438,-0.000958233126534924,0.487482983491678,0.0018193157802246,0.488156110132973,0.00114618913892983,0.490241249501755,-0.000938950229852298
