"species","dev_full","dev_base","dev_no_fd","dev_no_cwm","dev_no_rich","dev_no_struct","unique_total_veg","unique_fd","unique_cwm","unique_richness","unique_structure","dev_no_land","unique_landscape"
"Australian Hobby",0.0800282712744066,0.130656503373779,0.132132021980546,0.086407955115068,0.0806602418826321,0.0799346339297708,-0.0506282320993721,-0.0521037507061391,-0.00637968384066148,-0.000631970608225577,9.36373446357441e-05,0.0644675871617629,0.0155606841126436
"Varied Sittella",0.180601774597813,0.189175410283022,0.20060903950028,0.167457159920922,0.181301804205491,0.173719587073822,-0.008573635685209,-0.0200072649024668,0.0131446146768914,-0.000700029607677177,0.00688218752399128,0.0195372738831421,0.161064500714671
"Brahminy Kite",0.485755090529569,0.536035309709574,0.528827044845491,0.489059304964702,0.487542174222711,0.488126967793902,-0.0502802191800044,-0.0430719543159216,-0.00330421443513279,-0.0017870836931419,-0.00237187726433291,0.359953399792215,0.125801690737355
"White-throated Needletail",0.350581865398817,0.370767296745189,0.383057902600409,0.341967318808177,0.353462827174717,0.338832068095647,-0.0201854313463722,-0.0324760372015916,0.00861454659064004,-0.00288096177590036,0.0117497973031703,0.241472983080077,0.109108882318739
"White-winged Triller",0.440966302733301,0.534428823308017,0.522136042194073,0.434624456992115,0.45362804303458,0.436193742429463,-0.0934625205747154,-0.0811697394607717,0.00634184574118585,-0.0126617403012791,0.0047725603038381,0.429811861849549,0.0111544408837519
"Australian Ringneck",0.621850684474742,0.64857396995134,0.64643683094749,0.638078106780809,0.704158455993301,0.651217888198374,-0.0267232854765986,-0.0245861464727481,-0.0162274223060669,-0.0823077715185597,-0.0293672037236319,0.281905690987608,0.339944993487134
"Brown Falcon",0.154138727559761,0.23068118800385,0.238509452831231,0.144884398857914,0.160473133205486,0.155147171009841,-0.0765424604440882,-0.0843707252714701,0.00925432870184684,-0.00633440564572457,-0.00100844345007978,0.0912190666221427,0.0629196609376186
"Little Lorikeet",0.275547057177988,0.254239162766745,0.294777686656262,0.254582249912245,0.277555520031401,0.280425625614012,0.0213078944112435,-0.0192306294782742,0.0209648072657437,-0.00200846285341261,-0.00487856843602386,-0.0817340900615282,0.357281147239516
"Singing Honeyeater",0.590750032268933,0.647456355158673,0.654399977483201,0.576941847003462,0.590462547041703,0.574348618086516,-0.0567063228897398,-0.0636499452142685,0.0138081852654711,0.0002874852272301,0.0164014141824171,0.391380715247881,0.199369317021051
"Sahul Cicadabird",0.436021996574127,0.444422463643473,0.456574830457247,0.432591880379508,0.439467964110535,0.434787687623334,-0.00840046706934655,-0.0205528338831204,0.0034301161946183,-0.00344596753640863,0.00123430895079307,0.35553620291843,0.0804857936556965
"Eastern Shrike-tit",0.340801909326563,0.326207313862707,0.355627670450922,0.3365035488425,0.336272139553618,0.334346208424202,0.0145945954638557,-0.0148257611243588,0.00429836048406335,0.00452976977294506,0.00645570090236075,0.247783301183023,0.0930186081435399
"Rose Robin",0.37742529368917,0.369764073821171,0.387488668595294,0.356168516688893,0.367417513944012,0.37475463628695,0.00766121986799873,-0.0100633749061242,0.0212567770002775,0.0100077797451582,0.00267065740221983,0.306078988511707,0.0713463051774632
"Black Kite",0.448004610827512,0.515468493525408,0.510261955599609,0.460550485658629,0.460780689715696,0.46308765517824,-0.0674638826978956,-0.0622573447720964,-0.0125458748311172,-0.0127760788881842,-0.0150830443507278,0.0646189799514979,0.383385630876014
"European Goldfinch",0.417109247824774,0.495468480452739,0.402491059528244,0.473406654567857,0.457462226285197,0.449853435822106,-0.0783592326279652,0.0146181882965297,-0.0562974067430826,-0.0403529784604231,-0.0327441879973318,0.022227890568434,0.39488135725634
"Yellow-throated Miner",0.469810748143466,0.548005695205712,0.536941943866447,0.530748200293769,0.568724105853377,0.577601042695318,-0.0781949470622459,-0.0671311957229811,-0.0609374521503026,-0.0989133577099106,-0.107790294551852,0.125263610225316,0.34454713791815
"Azure Kingfisher",0.251025549949073,0.210898995244628,0.26912071019888,0.243832011137395,0.252001951905065,0.232233306653428,0.0401265547044447,-0.0180951602498067,0.00719353881167781,-0.000976401955992023,0.0187922432956453,0.202031036367176,0.0489945135818973
"Yellow-throated Scrubwren",0.758498198169412,0.74951669756872,0.775292624098524,0.747585589997662,0.759916277143927,0.757885200101913,0.00898150060069181,-0.0167944259291122,0.0109126081717497,-0.00141807897451551,0.000612998067498371,0.660192244581988,0.0983059535874233
"Brown-headed Honeyeater",0.4927966312814,0.490053369020577,0.506160183078248,0.460287222774184,0.488130403357689,0.491679253403593,0.00274326226082361,-0.0133635517968474,0.0325094085072163,0.00466622792371174,0.00111737787780686,0.327336532374042,0.165460098907358
"Brown Quail",0.311463774030773,0.314643172835992,0.394082706627986,0.315115853618274,0.33206359560214,0.291686577753845,-0.00317939880521872,-0.0826189325972129,-0.00365207958750136,-0.0205998215713673,0.0197771962769285,0.236101380688728,0.0753623933420448
"Rufous Songlark",0.560854371340669,0.611042734932917,0.616748705193846,0.56415295978011,0.56358325175613,0.563126373236916,-0.0501883635922489,-0.0558943338531773,-0.00329858843944109,-0.00272888041546138,-0.00227200189624777,0.484748687641523,0.0761056836991453
"Buff-rumped Thornbill",0.612616761741805,0.618806245974838,0.647350554603617,0.601972686262426,0.612682987418058,0.609758157340625,-0.00618948423303345,-0.0347337928618122,0.0106440754793791,-6.62256762531399e-05,0.00285860440117991,0.399294403848917,0.213322357892888
"Tawny Grassbird",0.463395859172084,0.641832083504029,0.604468079654527,0.480607473576164,0.461934579271227,0.473766819517195,-0.178436224331945,-0.141072220482443,-0.0172116144040798,0.00146127990085643,-0.0103709603451114,0.391929892649764,0.0714659665223202
"Little Friarbird",0.552688902883915,0.568416612390852,0.575596981107873,0.565286207446985,0.554178187050097,0.543251287895389,-0.0157277095069365,-0.022908078223958,-0.0125973045630698,-0.00148928416618233,0.00943761498852635,0.345996499651987,0.206692403231928
"Topknot Pigeon",0.234968124564027,0.248937357536509,0.278492730623742,0.211410350594,0.202762742199153,0.241934844832649,-0.0139692329724818,-0.0435246060597154,0.0235577739700263,0.0322053823648739,-0.00696672026862272,0.191944940342011,0.0430231842220154
"Apostlebird",0.569809189133239,0.641012490580543,0.667015495732816,0.608725467125273,0.568636713805998,0.558484286208627,-0.071203301447304,-0.0972063065995775,-0.0389162779920338,0.00117247532724074,0.0113249029246113,0.151445045732368,0.418364143400871
"Brown Treecreeper",0.693746629211945,0.749808508326997,0.755824221226373,0.684730419771744,0.691705653573871,0.694716143236538,-0.0560618791150514,-0.062077592014428,0.00901620944020165,0.00204097563807448,-0.000969514024592333,0.514669132859956,0.179077496351989
"Spangled Drongo",0.502800971617578,0.534847270657298,0.535959411266444,0.505803432695683,0.500910058582619,0.503180464753846,-0.0320462990397203,-0.0331584396488664,-0.00300246107810509,0.0018909130349587,-0.000379493136268394,0.38086752438629,0.121933447231288
"Restless Flycatcher",0.416329543783681,0.427284697511349,0.433375499712065,0.419405276342893,0.408072630940503,0.413122348202597,-0.0109551537276673,-0.0170459559283834,-0.00307573255921212,0.00825691284317859,0.00320719558108401,0.290295654809542,0.12603388897414
"Large-billed Scrubwren",0.583979083501738,0.570059165271896,0.592486797199398,0.583977176501195,0.589438629212979,0.580667765151318,0.0139199182298426,-0.00850771369765924,1.90700054347737e-06,-0.00545954571124041,0.0033113183504202,0.509080080333562,0.0748990031681764
"Long-billed Corella",0.0399221035264468,0.028918201415474,0.0352657189910127,0.038034680642138,0.0601163989506795,-0.280397367746428,0.0110039021109728,0.00465638453543409,0.00188742288430881,-0.0201942954242328,0.320319471272875,0.165695914708219,-0.125773811181772
"Little Grassbird",0.423112848125344,0.601489816827129,0.615952448750636,0.408721794796446,0.416380025606993,0.403356293784943,-0.178376968701785,-0.192839600625292,0.0143910533288981,0.00673282251835089,0.0197565543404006,0.404608116740353,0.0185047313849911
"Leaden Flycatcher",0.424073496546868,0.425733533691319,0.426069995674995,0.416286976617444,0.423305708662985,0.427177162670339,-0.00166003714445107,-0.00199649912812705,0.00778651992942425,0.000767787883883486,-0.00310366612347074,0.339728290623705,0.0843452059231635
