"species","deviance_explained","max_edf","scientific_name","Order","population_desc","in_traits"
"Eastern Rosella",0.3331,3.84,"Platycercus eximius","Psittaciformes","Endemic (entirely Australian)",TRUE
"Silvereye",0.2072,5.13,"Zosterops lateralis","Passeriformes","Australian",TRUE
"Little Wattlebird",0.418,4.44,"Anthochaera chrysoptera","Passeriformes","Endemic (entirely Australian)",TRUE
"Brown Thornbill",0.309,4.19,"Acanthiza pusilla","Passeriformes","Endemic (entirely Australian)",TRUE
"Yellow-faced Honeyeater",NA,7.34,"Caligavis chrysops","Passeriformes","Endemic (entirely Australian)",TRUE
"Black-faced Cuckooshrike",0.2238,4.43,"Coracina novaehollandiae","Passeriformes","Australian",TRUE
"Crimson Rosella",0.4301,5.79,"Platycercus elegans","Psittaciformes","Endemic (entirely Australian)",TRUE
"Eastern Whipbird",0.3967,6.17,"Psophodes olivaceus","Passeriformes","Endemic (entirely Australian)",TRUE
"Eastern Yellow Robin",0.3566,5.63,"Eopsaltria australis","Passeriformes","Endemic (entirely Australian)",TRUE
"Lewin's Honeyeater",0.4744,6.51,"Meliphaga lewinii","Passeriformes","Endemic (entirely Australian)",TRUE
"Red Wattlebird",0.3246,5.33,"Anthochaera carunculata","Passeriformes","Endemic (entirely Australian)",TRUE
"Crested Pigeon",0.3102,4.65,"Ocyphaps lophotes","Columbiformes","Endemic (entirely Australian)",TRUE
"Gray Butcherbird",0.2534,6.06,"Cracticus torquatus","Passeriformes","Endemic (entirely Australian)",TRUE
"Galah",0.3069,4.73,"Eolophus roseicapilla","Psittaciformes","Endemic (entirely Australian)",TRUE
"Gray Fantail",NA,5.64,"Rhipidura albiscapa","Passeriformes","Unknown",TRUE
"Sulphur-crested Cockatoo",0.2729,6.71,"Cacatua galerita","Psittaciformes","Australian",TRUE
"Pied Currawong",0.2134,6.62,"Strepera graculina","Passeriformes","Endemic (entirely Australian)",TRUE
"Laughing Kookaburra",NA,5.93,"Dacelo novaeguineae","Coraciiformes","Endemic (entirely Australian)",TRUE
"Willie-wagtail",0.3516,3.55,"Rhipidura leucophrys","Passeriformes","Australian",TRUE
"Superb Fairywren",0.2434,5.95,"Malurus cyaneus","Passeriformes","Endemic (entirely Australian)",TRUE
"Australian Raven",0.2898,5.81,"Corvus coronoides","Passeriformes","Endemic (entirely Australian)",TRUE
"Welcome Swallow",0.1619,3.19,"Hirundo neoxena","Passeriformes","Endemic (breeding only)",TRUE
"Noisy Miner",0.2614,6.42,"Manorina melanocephala","Passeriformes","Endemic (entirely Australian)",TRUE
"Magpie-lark",0.329,5.38,"Grallina cyanoleuca","Passeriformes","Australian",TRUE
"Rainbow Lorikeet",0.3849,7.2,"Trichoglossus moluccanus","Psittaciformes","Endemic (entirely Australian)",TRUE
"Australian Magpie",0.2247,6.07,"Gymnorhina tibicen","Passeriformes","Australian",TRUE
